"version","World Size","iterations","threads","block size x","block size y","time"
"cuda","16","2",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"omp","32","1","4",0,0,"0.0183604"
"cuda","64","2",1,"24","24","0.281252"
"omp","64","3","3",0,0,"0.0810348"
"serial","128","3",1,0,0,"0.55744"
"cuda","128","2",1,"24","24","0.332796"
"omp","256","2","4",0,0,"1.07402"
"cuda","64","2",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","128","2",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"cuda","256","3",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","256","3",1,"16","24","0.325032"
"cuda","128","1",1,"16","32","0.30192"
"cuda","32","2",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","128","1",1,"32","24","0.334582"
"cuda","256","2",1,"32","16","0.296949"
"omp","16","2","7",0,0,"0.00754838"
"cuda","8","3",1,"16","32","0.33765"
"omp","32","2","4",0,0,"0.0234029"
"cuda","16","3",1,"16","32","0.332035"
"cuda","128","3",1,"32","24","0.297494"
"omp","32","2","5",0,0,"0.0199583"
"cuda","8","2",1,"24","16","0.27552"
"omp","64","3","4",0,0,"0.0729069"
"omp","64","1","5",0,0,"0.0510969"
"cuda","8","1",1,"24","32","0.279221"
"cuda","32","1",1,"32","32","0.279306"
"cuda","16","1",1,"24","16","0.273308"
"cuda","256","1",1,"32","8","0.296811"
"cuda","8","2",1,"16","8","0.284875"
"cuda","256","2",1,"8","16","0.238979"
"cuda","32","2",1,"24","32","0.329307"
"cuda","128","2",1,"8","16","0.275882"
"cuda","8","2",1,"32","24","0.280352"
"cuda","64","1",1,"64","16","0.302181"
"cuda","8","1",1,"8","64","0.338591"
"cuda","128","1",1,"8","8","0.434275"
"omp","8","1","3",0,0,"0.00772313"
"cuda","8","2",1,"16","64","0.295531"
"serial","32","3",1,0,0,"0.0348818"
"omp","64","3","7",0,0,"0.0423344"
"omp","8","1","4",0,0,"0.0048408"
"cuda","256","1",1,"64","16","0.306831"
"cuda","8","1",1,"24","8","0.283429"
"cuda","16","2",1,"24","32","0.25572"
"omp","128","1","3",0,0,"0.301287"
"cuda","32","3",1,"8","32","0.352121"
"cuda","128","1",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"omp","128","1","7",0,0,"0.159168"
"cuda","64","1",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","256","3",1,"16","64","0.293675"
"cuda","8","3",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"serial","16","1",1,0,0,"0.00846849"
"cuda","64","3",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","64","1",1,"64","8","0.291178"
"omp","8","1","8",0,0,"0.00736843"
"cuda","256","3",1,"16","16","0.286022"
"omp","8","1","1",0,0,"0.0022191"
"cuda","8","1",1,"64","32","launching update_cell_kernel: invalid configuration argu"
"cuda","32","3",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","8","3",1,"8","16","0.422416"
"cuda","32","2",1,"8","64","0.354595"
"cuda","128","2",1,"64","16","0.288338"
"omp","256","2","5",0,0,"0.792674"
"cuda","16","1",1,"8","32","0.326361"
"cuda","128","2",1,"16","16","0.329295"
"omp","16","3","5",0,0,"0.00971072"
"cuda","16","2",1,"32","16","0.293086"
"cuda","16","2",1,"24","24","0.319399"
"cuda","32","3",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","128","1",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","16","1",1,"64","24","launching update_cell_kernel: invalid configuration argu"
"cuda","16","1",1,"32","64","launching update_cell_kernel: invalid configuration argu"
"cuda","64","2",1,"8","8","0.296558"
"cuda","128","2",1,"16","8","0.327345"
"omp","128","3","6",0,0,"0.180674"
"cuda","128","1",1,"32","16","0.31098"
"cuda","16","2",1,"16","24","0.294281"
"cuda","16","2",1,"24","64","launching update_cell_kernel: invalid configuration argu"
"cuda","256","3",1,"8","16","0.251614"
"cuda","256","2",1,"64","64","launching update_cell_kernel: invalid configuration argu"
"cuda","128","1",1,"8","32","0.318151"
"omp","64","2","6",0,0,"0.0444949"
"omp","16","1","7",0,0,"0.00914178"
"cuda","64","1",1,"32","8","0.296079"
"omp","8","2","6",0,0,"0.00370839"
"cuda","128","3",1,"16","32","0.873546"
"cuda","64","2",1,"32","64","launching update_cell_kernel: invalid configuration argu"
